Plant type,Species,Author,Journal,Year,Kingdom,Phylum,Angiosperm or Gymnosperm,Dicot or Monocot,Class,Order,Family,Accepted name,Growth form Raunkiaer,Growth form author
Tree,Abies balsamea,Silvertown & Dodd,Am Nat,1999,Plantae,Pinophyta,Gymnosperm,.,Pinopsida,Pinales,Pinaceae,Abies concolor,Macrophanerophyte,
Tree,,,J Ecol,,,,,,,,,,,
Tree,Abies homolepis,Nakashizuka,J Veg Sci,1991,Plantae,Pinophyta,Gymnosperm,.,Pinopsida,Pinales,Pinaceae,Abies homolepis,,
Tree,Abies magnifica,van Mantgem & Stepheson,J Ecol,2005,Plantae,Pinophyta,Gymnosperm,.,Pinopsida,Pinales,Pinaceae,Abies magnifica,Mesophanerophyte,
Tree,Abies sachalinensis,Kubota,Eco Research,1997,Plantae,Pinophyta,Gymnosperm,.,Pinopsida,Pinales,Pinaceae,Abies sachalinensis,Macrophanerophyte,
Tree,Abies sachalinensis 2,,J Veg Sci,1999,Plantae,Pinophyta,Gymnosperm,.,Pinopsida,Pinales,Pinaceae,Abies sachalinensis,Macrophanerophyte,
Annual,Abutilon theophrasti,0.307,Weed Sci,2005,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Malvales,Malvaceae,Abutilon theophrasti,,
Shrub,Acacia aneura,"Rosenberg, Boland, Tiver, & Watson",Internet,.,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Mimosaceae,Acacia quadrimarginea,Nanophanerophyte,Small tree or large shrub
Shrub,Acacia bilimekii,Jimenez-Lobato & Valverde,J Arid Env,2006,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Mimosaceae,Acacia bilimekii,Nanophanerophyte,
Tree,Acacia drepanolobium,"Maclean, Goheen, Doak, Palmer & Young",Ecol,2011,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Mimosaceae,,,
Tree,Acacia pennatula,Somarriba,Agrofor Syst,2011,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Mimosaceae,Acacia suaveolens,,
Shrub,Acacia suaveolens,Warton & Wardle,Austral Ecol,2003,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Mimosaceae,Acacia suaveolens,Nanophanerophyte,
Tree,Acer amoenum,"Tanaka, Shibata, Masaki, Iida, Niiyama, Abe, Kominami & Nakashizuka",J Veg Sci,2008,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Sapindales,Aceraceae,,Mesophanerophyte,
Tree,Acer mono,"Tanaka, Shibata, Masaki, Iida, Niiyama, Abe, Kominami & Nakashizuka",J Veg Sci,2008,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Sapindales,Aceraceae,,Macrophanerophyte,
Tree,Acer rufinerve,"Tanaka, Shibata, Masaki, Iida, Niiyama, Abe, Kominami & Nakashizuka",J Veg Sci,2008,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Sapindales,Aceraceae,,Macrophanerophyte,
Tree,Acer saccharum,Lin & Augspurger,Forest Ecol & Manag,2008,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Sapindales,Aceraceae,Acer saccharum,Macrophanerophyte,
Herbaceous perennial,Achillea millefolium,Freville & Silvertown,Plant Ecol,2005,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Achillea millefolium,Hemicryptophyte,Rhizome
Herbaceous perennial,Achnatherum calamagrostis,"Guardia, Raventos & Caswell",J Ecol,2000,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Poaceae,,Hemicryptophyte,"Tiller, rhyzome"
Herbaceous perennial,Aconitum noveboracense,Dixon & Cook,Report,2000,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum noveboracense,Helophyte,Tubers
Herbaceous perennial,Actaea elata,Mayberry & Elle,Oeco,2010,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ranunculales,Ranunculaceae,Actaea spicata,Helophyte,
Herbaceous perennial,Actaea spicata,Fröborg & Eriksson,Can J Bot,2003,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ranunculales,Ranunculaceae,Actaea spicata,Hemicryptophyte,No clonal rhyzome
Herbaceous perennial,Adenocarpus gibbsianus,"Iriondo, Albert, Gimenez, Lozano & Escudero",Book,2009,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,,Nanophanerophyte,
Shrub,Adesmia volckmanni,Cipriotti & Aguiar,Appl Veg Sci,2012,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,,Chamaephytes,
Herbaceous perennial,Aechmea magdalenae,Tickting & Nantel,Biol Cons,2004,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Bromeliaceae,Aechmea magdalenae,Geophyte,Rhyzomes
Herbaceous perennial,Aechmea nudicaulis,"Sampaio, Pico & Scarano",Amer J Bot,2005,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Bromeliaceae,Aechmea nudicaulis,Geophyte,"Rhyzome, clones"
Herbaceous perennial,Aegilops triuncialis,Thomson,Ecol,2007,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Poaceae,,,
Annual,Aeschynomene virginica,Griffith & Forseth,Ecol Appl,2005,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,Aeschynomene virginica,Therophyte,Forb
Tree,Aesculus turbinata,"Kaneko, Takada & Kawano",Plant Spp Biol,1999,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Sapindales,Hippocastanaceae,Aesculus turbinata,Mesophanerophyte,
Annual,Agalinis auriculata,"Vitt, Havens, Kendall & Knight",Biol Cons,2009,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Lamiales,Orobanchaceae,Agalinis auriculata,Therophyte,Hemi-parasitic. Single unbranched stem
Tree,Agathis ovata,Enright,Working on it,,Plantae,Pinophyta,Gymnosperm,.,Pinopsida,Pinales,Araucariaceae,,,
Succulent,Agave marmorata,"Jimenez-Valdes, Godinez-Alvarez, Caballero, Lira",Econ Bot,2010,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asparagales,Asparagaceae,,Nanophanerophyte,
Herbaceous perennial,Agrimonia eupatoria,Kiviniemi,Plant Ecol,2002,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Rosales,Rosaceae,Agrimonia eupatoria,Hemicryptophyte,Rhyzome
