"","SpeciesAccepted","species","SpeciesAuthor","CommonName","Kingdom","Phylum","Class","Order","Family","Genus","Species","Infraspecies","InfraspeciesType","OrganismType","DicotMonoc","AngioGymno","max_height","Growth.form.Raunkiaer","Growth.form.author"
"1","Actaea spicata","Actaea spicata","Actaea_spicata",NA,"Plantae","Magnoliophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Actaea","spicata",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.8,"Hemicryptophyte","No clonal rhyzome"
"2","Aesculus turbinata","Aesculus turbinata","Aesculus_turbinata","Japanese horse chestnut","Plantae","Magnoliophyta","Magnoliopsida","Sapindales","Sapindaceae","Aesculus","turbinata",NA,NA,"Tree","Eudicot","Angiosperm",30,"Mesophanerophyte",""
"3","Agrimonia eupatoria","Agrimonia eupatoria","Agrimonia_eupatoria",NA,"Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Agrimonia","eupatoria",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",1.5,"Hemicryptophyte","Rhyzome"
"4","Alnus incana subsp. rugosa","Alnus incana","Alnus_incana_subsp._rugosa","Speckled alder","Plantae","Magnoliophyta","Magnoliopsida","Fagales","Betulaceae","Alnus","incana","rugosa","subspecies","Tree","Eudicot","Angiosperm",15,"Mesophanerophyte",""
"5","Anemone patens","Anemone patens","Anemone_patens","Prairie crocus","Plantae","Magnoliophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Anemone","patens",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.35,"Geophyte","Rhizome"
"6","Anthyllis vulneraria","Anthyllis vulneraria","Anthyllis_vulneraria_subsp._alpicola","Kidney vetch","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Leguminosae","Anthyllis","vulneraria",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",1,"Hemicryptophyte","Rosette"
"7","Aquilegia chrysantha","Aquilegia chrysantha","Aquilegia_chrysantha",NA,"Plantae","Magnoliophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Aquilegia","chrysantha",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.4,"Hemicryptophyte","Rosette"
"8","Artemisia genipi","Artemisia genipi","Artemisia_genipi",NA,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Compositae","Artemisia","genipi",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.15,"Hemicryptophyte",""
"9","Atriplex canescens","Atriplex canescens","Atriplex_canescens","Four-winged salt-bush","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Atriplex","canescens",NA,NA,"Shrub","Eudicot","Angiosperm",1.5,"Nanophanerophyte","Shrub"
"10","Callitris columellaris","Callitris columellaris","Callitris_intratropica","Northern cypress pine","Plantae","Pinophyta","Pinopsida","Pinales","Cupressaceae","Callitris","columellaris",NA,NA,"Tree",NA,"Gymnosperm",30,"Megaphanerophyte",NA
"11","Calochortus macrocarpus","Calochortus macrocarpus","Calochortus_macrocarpus",NA,"Plantae","Magnoliophyta","Liliopsida","Liliales","Liliaceae","Calochortus","macrocarpus",NA,NA,"Herbaceous perennial","Monocot","Angiosperm",0.54864,"Geophyte","Bulb"
"12","Carlina vulgaris","Carlina vulgaris","Carlina_vulgaris_2",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Carlina","vulgaris",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.6,"Hemicryptophyte","Rosette"
"13","Castanea dentata","Castanea dentata","Castanea_dentata","American chestnut","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Castanea","dentata",NA,NA,"Tree","Eudicot","Angiosperm",35.052,"Megaphanerophyte","Monopodial"
